case_id,time_s,z_m,excess,analytical_excess
l3c_mode2,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode2,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode2,0.0,0.055,10000.0,10004.936473417667
l3c_mode2,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode2,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode2,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode2,0.0,0.105,10000.0,10009.042092269858
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.115,10000.0,9990.093065344203
l3c_mode2,0.0,0.125,10000.0,9992.482668331433
l3c_mode2,0.0,0.13500001,10000.0,10011.163566187053
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.145,10000.0,10005.791142442738
l3c_mode2,0.0,0.155,10000.0,9987.83448204465
l3c_mode2,0.0,0.16500001,10000.0,9996.100946140748
l3c_mode2,0.0,0.175,10000.0,10012.887018471081
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.185,10000.0,10001.88078356535
l3c_mode2,0.0,0.19499999,10000.0,9986.692673195756
l3c_mode2,0.0,0.205,10000.0,10000.22142947785
l3c_mode2,0.0,0.215,10000.0,10013.411460871106
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.22499999,10000.0,9997.637552179023
l3c_mode2,0.0,0.235,10000.0,9986.809584435934
l3c_mode2,0.0,0.245,10000.0,10004.496031010596
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.255,10000.0,10012.64147141333
l3c_mode2,0.0,0.26499999,10000.0,9993.425621667053
l3c_mode2,0.0,0.27500001,10000.0,9988.231757651585
l3c_mode2,0.0,0.285,10000.0,10008.55048873983
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode2,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode2,0.0,0.315,10000.0,9990.903879968737
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode2,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode2,0.0,0.345,10000.0,9986.593107389055
l3c_mode2,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.36500001,10000.0,10014.527361113465
l3c_mode2,0.0,0.375,10000.0,10003.112143391418
l3c_mode2,0.0,0.38499999,10000.0,9984.663799643964
l3c_mode2,0.0,0.39500001,10000.0,9999.278626989759
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.405,10000.0,10015.802501259683
l3c_mode2,0.0,0.41499999,10000.0,9998.20249791173
l3c_mode2,0.0,0.42500001,10000.0,9984.099822632243
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.435,10000.0,10004.397054441557
l3c_mode2,0.0,0.44499999,10000.0,10015.608949873445
l3c_mode2,0.0,0.45500001,10000.0,9992.974738643436
l3c_mode2,0.0,0.465,10000.0,9985.085826393555
l3c_mode2,0.0,0.47499999,10000.0,10009.627322278608
l3c_mode2,0.0,0.48500001,10000.0,10013.80777202172
l3c_mode2,0.0,0.495,10000.0,9987.85262975875
l3c_mode2,0.0,0.47499999,10000.0,10009.627322278608
l3c_mode2,0.0,0.48500001,10000.0,10013.80777202172
l3c_mode2,0.0,0.495,10000.0,9987.85262975875
l3c_mode2,0.0,0.47499999,10000.0,10009.627322278608
l3c_mode2,0.0,0.48500001,10000.0,10013.80777202172
l3c_mode2,0.0,0.495,10000.0,9987.85262975875
l3c_mode2,0.0,0.47499999,10000.0,10009.627322278608
l3c_mode2,0.0,0.48500001,10000.0,10013.80777202172
