step,time,p0,targets,legacy,fx,fy,fz,absforce,maxaccel,comaccel,sym,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lat_accel_mean,lat_accel_max,cap_axial_mean,cap_axial_max,case,label,gradient_mode,grad_corrected,grad_fallback,grad_det_min,grad_det_max
1,0.000502713,50.0,112.0,407.0,-9.66858e-09,-1.00509e-08,1.36376e-09,0.442619,1.92646,5.95789e-08,3.16591e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,T4_raw_reference,T4 raw gradient,,,,,
2,0.000603255,50.0,112.0,407.0,-1.71036e-08,-2.29361e-08,5.473e-09,0.442619,1.92646,1.23852e-07,6.58125e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,T4_raw_reference,T4 raw gradient,,,,,
3,0.000703798,50.0,112.0,407.0,4.57255e-09,7.99675e-09,6.71735e-09,0.442619,1.92646,4.84729e-08,2.57577e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,T4_raw_reference,T4 raw gradient,,,,,
4,0.00080434,50.0,112.0,407.0,-3.80253e-09,-3.84073e-09,9.37535e-09,0.442618,1.92647,4.60103e-08,2.44491e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,T4_raw_reference,T4 raw gradient,,,,,
1.0,0.000502713,50.0,112.0,407.0,-1.35875e-09,-2.21391e-09,1.8597e-09,0.889149,3.8748,1.35829e-08,3.59298e-09,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75855,3.8311,0.0,0.0,CaseT4b_RenormConfinement,"renormalized, T4 loading",1.0,112.0,0.0,0.116885,0.195199
2.0,0.000603255,50.0,112.0,407.0,-9.54155e-09,4.62366e-09,-2.93831e-09,0.889149,3.8748,4.6779e-08,1.23741e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75854,3.8311,0.0,0.0,CaseT4b_RenormConfinement,"renormalized, T4 loading",1.0,112.0,0.0,0.116885,0.1952
3.0,0.000703798,50.0,112.0,407.0,-2.65106e-09,9.06564e-09,1.64367e-08,0.889147,3.8748,8.06006e-08,2.13207e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75854,3.8311,0.0,0.0,CaseT4b_RenormConfinement,"renormalized, T4 loading",1.0,112.0,0.0,0.116886,0.195201
4.0,0.000804339,50.0,112.0,407.0,4.49178e-09,-1.12118e-09,2.53706e-08,0.889144,3.8748,1.09649e-07,2.90049e-08,0.407176,1.00132,0.745129,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75852,3.8311,0.0,0.0,CaseT4b_RenormConfinement,"renormalized, T4 loading",1.0,112.0,0.0,0.116889,0.195204
1.0,0.000502713,50.0,112.0,407.0,-1.35875e-09,-2.21391e-09,1.8597e-09,0.889149,3.8748,1.35829e-08,3.59298e-09,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75855,3.8311,0.0,0.0,CaseT4b_RenormGentleLoading,"renormalized, gentle loading",1.0,112.0,0.0,0.116885,0.195199
2.0,0.000603255,50.0,112.0,407.0,-9.91877e-09,4.16894e-09,-4.77836e-09,0.889149,3.8748,5.00537e-08,1.32403e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75854,3.8311,0.0,0.0,CaseT4b_RenormGentleLoading,"renormalized, gentle loading",1.0,112.0,0.0,0.116885,0.1952
3.0,0.000703798,50.0,112.0,407.0,-4.56723e-09,4.12486e-09,1.08339e-08,0.889147,3.8748,5.29756e-08,1.40133e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75854,3.8311,0.0,0.0,CaseT4b_RenormGentleLoading,"renormalized, gentle loading",1.0,112.0,0.0,0.116886,0.195201
4.0,0.000804339,50.0,112.0,407.0,1.59003e-09,-1.90812e-09,1.6025e-08,0.889144,3.8748,6.8947e-08,1.82382e-08,0.407176,1.00132,0.745129,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,3.75852,3.8311,0.0,0.0,CaseT4b_RenormGentleLoading,"renormalized, gentle loading",1.0,112.0,0.0,0.116889,0.195204
