part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,PorePress,pairwise_reaction_avg,force_balance_error,velocity_gradient_available,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
6,0.001005,181,-1,1,-0.020000558,-0.020000558,-1.6089277e-08,0.028285060378629708,0.9428353459543236,-1.6089277e-07,0.100000016089277,-1.6089277e-08,0.0017149396213702907,0.001714939621445764,edge_ring,88,56,0.0100000130892779,8.022114622474277,0.6181490530491474,0.00111291760230914,0.032592114,-21742362.0,-1.8814714999999993,35.05127893990538,-18.629715592240114,119.99983,0.80004817,-1.2447966e-07,1.3347724e-07,0.0,0.0,-1.8814813,1.3347724e-07,-14936.04238732,0.37390975,0.783163,1,0.0007452793703329932,0.033074965134796026,0.0714266336249581,0.051507005414956154
6,0.001005,182,-1,1,-0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.09000000300000001,0.009999997,0.0017149438640109808,0.010145983069999571,edge_ring,94,75,0.010000004002624399,8.027980380726396,0.6186010427151645,0.001082638991386839,0.04006318,-26701480.0,-0.9666771333333332,27.838821876913336,-28.798469434068895,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96668702,0.0,-19350.99248434,0.37390975,0.783163,1,-0.0007392190187394557,0.033697830473007145,0.07264587501906981,0.05221022765566443
6,0.001005,193,-1,1,-0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.009999988143235052,11.035861890551919,0.8503752312531504,0.00066251348596706,0.040608741,-27050674.0,-3.500050666666666,25.755480099780804,-7.358602075412091,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000606,0.0,-20984.2579207,0.37390975,0.783163,1,-0.0015394610801196013,0.02549217244543333,0.052840344230592036,0.03806934012018189
6,0.001005,194,-1,1,-0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.079999999,0.020000001,0.0076388519922398895,0.021409159249240695,lateral_surface,115,107,0.00999999200000125,11.035884022557898,0.8503769366486953,0.0006367211427661104,0.033584666,-22372552.0,-0.7869788999999999,24.90554609316389,-31.647031569923783,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698885,0.0,-20306.37013515,0.37390975,0.783163,1,-0.0010796221239066412,0.02436590696178357,0.05034279487659489,0.0359585624103244
6,0.001005,248,-1,1,-0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.009999988143260051,11.03586189055184,0.8503752312531443,0.000662513419445629,0.040608741,-27050674.0,-3.5000493333333336,25.755481122688458,-7.358605170904769,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000594,0.0,-20984.25470337,0.37390975,0.783163,1,-0.001539461013506248,0.025492171222402715,0.05284034146241857,0.038069337996851464
6,0.001005,249,-1,1,-0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.079999999,0.020000001,0.0076388519922398895,0.021409159249240695,lateral_surface,115,107,0.00999999200000125,11.035884022555736,0.8503769366485288,0.0006367211280656718,0.033584662,-22372550.0,-0.7869768999999996,24.905539633217565,-31.647103788202138,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698683,0.0,-20306.36792325,0.37390975,0.783163,1,-0.0010796218307338621,0.02436590651050405,0.050342794457240825,0.03595856222243687
6,0.001005,259,-1,1,-0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.089999982,0.010000018,0.015857715883845,0.018747466843631804,bottom_cap_zone,145,114,0.009999987000001601,12.633798281151433,0.9735052179420223,0.00022574628744791947,0.042672832,-28421324.0,-4.197806666666668,26.494444792023035,-6.311497145022487,119.99934,0.80005151,-4.8932566e-07,5.079059e-07,0.0,0.0,-4.1978168,5.079059e-07,-21835.96222539,0.37390975,0.783163,1,-0.002829940464925189,0.021597601989695764,0.04376245391967709,0.03096075264433012
6,0.001005,260,-1,1,-0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.079999995,0.020000005,0.015857721540699247,0.025523862020908627,interior,145,136,0.009999987000001601,12.633811637599848,0.9735062471314977,0.00019016237926695387,0.036411412,-24254424.0,-2.953822666666667,26.327692947827313,-8.913091921505774,119.99969,0.80005103,-2.2951392e-07,2.3841297e-07,0.0,0.0,-2.9538324,2.3841297e-07,-21326.24458434,0.37390975,0.783163,1,-0.001314164311645745,0.019317133917167675,0.039157732050295435,0.027751747271365448
6,0.001005,261,-1,1,-0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.4714093291171438,0.29999999,0.070000001,0.029999999,0.015857720126485685,0.03393327611077289,interior,145,145,0.009999994000000099,12.633827118946764,0.9735074400563543,0.00019200650187854468,0.032409854,-21592392.0,-1.3833685666666664,24.91002730262498,-18.006790021727628,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833785,0.0,-20548.64109794,0.37390975,0.783163,1,-0.001631118933032857,0.016744089969042666,0.03379405298107777,0.02395836464995841
6,0.001005,313,-1,1,2.270774e-14,-0.030000759,-1.704692e-08,0.030000759,1.0000253,-1.704692e-07,0.10000001704692,-1.704692e-08,-7.589999999994823e-07,7.591914103048721e-07,edge_ring,79,50,0.01000001404692045,8.30935682656371,0.6402826805039578,0.0011099043798618062,0.034136422,-22767612.0,-2.5115099666666665,31.983000507099682,-12.734570410464368,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115201,0.0,-15650.70505503,0.37390975,0.783163,1,0.0005555234329095602,0.03047450287106309,0.06620273322434037,0.04784324622203905
