field,operator,region,count,accel_max,accel_mean,error_maxabs,error_mean,net_fx,net_fy,net_fz,sign_metric
uniform_1000,0,all,407,38.5292931841278,26.06694919442127,38.5292931841278,26.06694919442127,-1.491862189340054e-16,-1.5543122344752192e-15,3.7470027081099033e-16,38.5292931841278
uniform_1000,0,interior,63,6.959787765939431,3.6905746080831787,6.959787765939431,3.6905746080831787,-1.491862189340054e-16,-1.5543122344752192e-15,3.7470027081099033e-16,38.5292931841278
uniform_1000,0,lateral,196,38.5292931841278,30.09481942388084,38.5292931841278,30.09481942388084,-1.491862189340054e-16,-1.5543122344752192e-15,3.7470027081099033e-16,38.5292931841278
uniform_1000,0,cap_edge,148,37.14556323749144,30.25782104553764,37.14556323749144,30.25782104553764,-1.491862189340054e-16,-1.5543122344752192e-15,3.7470027081099033e-16,38.5292931841278
uniform_1000,1,all,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,interior,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,lateral,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_1000,1,cap_edge,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_x_1000PaPerM,0,all,407,0.947615356766907,0.4677656592933019,1.3747222056499941,0.5601324019787102,1.5382118322138094e-18,-5.5294310796760726e-18,-6.179952383167375e-18,1.0911282797298836e-18
linear_x_1000PaPerM,0,interior,63,0.47516623331941393,0.4284133368309331,0.12464909309347114,0.06459435466162551,1.5382118322138094e-18,-5.5294310796760726e-18,-6.179952383167375e-18,1.0911282797298836e-18
linear_x_1000PaPerM,0,lateral,196,0.947615356766907,0.47023201852148533,1.3747222056499941,0.6931185171678891,1.5382118322138094e-18,-5.5294310796760726e-18,-6.179952383167375e-18,1.0911282797298836e-18
linear_x_1000PaPerM,0,cap_edge,148,0.915831068237784,0.48125072622847265,1.338309983966833,0.5949541479509892,1.5382118322138094e-18,-5.5294310796760726e-18,-6.179952383167375e-18,1.0911282797298836e-18
linear_x_1000PaPerM,1,all,407,0.47516623331941393,0.30362732527743536,0.33296674758956046,0.17662992565956792,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,interior,63,0.47516623331941393,0.44991546797138865,0.055672555464652926,0.031041567845300554,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,lateral,196,0.38849238221336047,0.28238069840578345,0.2714738336552306,0.19707028658764664,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
linear_x_1000PaPerM,1,cap_edge,148,0.45320934250940115,0.26949344606881864,0.33296674758956046,0.21153368106764522,-0.25823094660243673,6.369687763352339e-19,4.607859233063394e-19,-0.30213050965536054
radial_linear,0,all,407,34.19830941269304,18.985406429015264,0.0,0.0,2.220446049250313e-16,1.3877787807814457e-17,-7.7021722333370235e-16,13.19579997645935
radial_linear,0,interior,63,8.532773656387336,6.471749414822385,0.0,0.0,2.220446049250313e-16,1.3877787807814457e-17,-7.7021722333370235e-16,13.19579997645935
radial_linear,0,lateral,196,34.19830941269304,21.008898188073715,0.0,0.0,2.220446049250313e-16,1.3877787807814457e-17,-7.7021722333370235e-16,13.19579997645935
radial_linear,0,cap_edge,148,33.05205511133403,21.632406477114557,0.0,0.0,2.220446049250313e-16,1.3877787807814457e-17,-7.7021722333370235e-16,13.19579997645935
radial_linear,1,all,407,9.302815008877136,7.038771867183662,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,interior,63,9.302815008877136,8.119343942803626,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,lateral,196,9.14622821960142,7.199916615157233,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
radial_linear,1,cap_edge,148,8.802949371358846,6.365390709299353,0.0,0.0,-8.673617379884035e-19,-2.7755575615628914e-17,8.239936510889834e-18,-6.94623400056468
center_bump,0,all,407,27.71686848556478,8.036366201141332,0.0,0.0,6.852157730108388e-17,2.0729945537922845e-16,-1.3955850364233413e-15,7.280016045502829
center_bump,0,interior,63,12.633373067520704,10.281843813124897,0.0,0.0,6.852157730108388e-17,2.0729945537922845e-16,-1.3955850364233413e-15,7.280016045502829
center_bump,0,lateral,196,11.001715586119841,6.958971629313786,0.0,0.0,6.852157730108388e-17,2.0729945537922845e-16,-1.3955850364233413e-15,7.280016045502829
center_bump,0,cap_edge,148,27.71686848556478,8.507340839811834,0.0,0.0,6.852157730108388e-17,2.0729945537922845e-16,-1.3955850364233413e-15,7.280016045502829
center_bump,1,all,407,9.777711894642,5.988399603121087,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,interior,63,9.777711894642,8.63089548311814,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,lateral,196,8.635461235618136,5.54171609944423,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
center_bump,1,cap_edge,148,9.23515549893682,5.455107213126828,0.0,0.0,-1.1644331332494318e-16,-1.3010426069826053e-16,-2.7972416050126014e-17,5.894882677551198
