variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang_ref,0,lateral_surface,4300,0,0,0,100.99813953488372,97.05674418604652,0.7119780177251177,0.0390763745968842,0.05443204293810704,39.07734555152535,33.31966362331877,1.3168023636351256,4820.9116,119.99914187906998,0.8000130206790668,-6.355806640120916e-07,4.906424537879069e-06,0.36459348446512513,0.7164688998139724,-59.31883044465126,0.16772004175000946,-6381.8070862730865,30705032.0,0.0024540868660296003,112.0,0.0
overhang_ref,0,measurement_core,210,0,0,0,166.0952380952381,166.0952380952381,0.9999999999999999,0.02423144468803791,0.03418827748278265,34.12107889992062,38.415754725549256,1.6743058434178741,4361.0669,119.99527595238088,0.8000214115714278,-3.498477581533335e-06,5.310195430352381e-06,0.3216667547619036,0.6730182738095232,-59.68399339523816,0.16875251566864374,-7794.614450179634,26437340.0,0.0012346016,112.0,0.0
overhang_ref,0,top_cap_zone,392,0,0,0,153.55612244897958,105.41326530612245,0.9894359826881014,0.08895760294872725,0.12560011434794804,72.71637154081634,58.64178456930974,0.7933479291859195,4693.6621,120.04907431122422,0.799910098877552,3.633869662874563e-05,7.913291590160711e-05,0.3652724806122435,0.7162206852040793,-111.58513081887769,0.31549952450739793,-10631.768434241454,22251752.0,0.004098013749356978,112.0,0.0
overhang_ref,1,bottom_cap_zone,68,68,0,68,158.23529411764707,88.05882352941177,0.9966921581893367,0.011767554610165404,0.016096686599610156,-3.790240096843139,19.20486868905369,-9.609688254953218,7.3614206,119.99866352941183,0.8000534835294121,-9.904651223529408e-07,1.0173429761764709e-06,0.31645172352941187,0.77759794117647,-0.7019656391764704,0.0019847610855983364,-16278.091077838822,8203029.5,0.00029428029604221007,112.0,0.0
overhang_ref,1,edge_ring,52,52,8,44,134.30769230769232,70.76923076923077,0.915685044510903,0.02404368656674011,0.03299843063509185,1.679107448205129,34.36419549730896,-7.195285919125888,1195.739,119.99861230769218,0.8000431538461531,-1.027177334615384e-06,1.0707142557692308e-06,0.3455654538461538,0.7648942307692307,-13.506669654230787,0.03818920874417607,-16163.870654548078,10009333.0,0.0020114139039628864,112.0,0.0
overhang_ref,1,interior,93,93,13,80,152.58064516129033,151.70967741935485,0.9950262286107625,0.025940950405930432,0.03649046238176826,5.643579356989248,42.77724535683772,-42.95130565964649,2582.5183,119.99740333333324,0.8000443094623655,-1.92253775483871e-06,5.608380456989246e-06,0.36509192311827865,0.7995803225806456,-34.058059462365605,0.0962968944622429,-18139.503692260645,21060542.0,0.0018243650000000031,112.0,0.0
overhang_ref,1,lateral_surface,12,12,12,0,109.0,106.0,0.7744896793479968,0.07799271613202646,0.10833456009030883,72.54198380555555,81.1871120693885,1.1259425618714471,1914.8097,119.99523999999997,0.7999863633333333,-3.5288101249999998e-06,2.5274279974999997e-05,0.31008656666666656,0.7735849999999999,-122.85925416666663,0.34737635728396893,5095.893220070833,30301938.0,0.001620557057811027,112.0,0.0
overhang_ref,1,top_cap_zone,4,4,4,0,148.0,114.0,0.9763207485460409,0.10432939754884255,0.14680252723656095,68.07383041666667,94.58168510828794,1.389398606327454,3851.8447,120.03795,0.79993069,2.8116085500000004e-05,0.00012352641250000003,0.28303465,0.75653,-131.035975,0.3704954907743782,-17205.4881794375,14832723.0,0.0028241763020525387,112.0,0.0
stepped_cap,0,bottom_cap_zone,328,0,0,0,161.10365853658536,109.11585365853658,0.9933907962853665,0.017243615596005204,0.024049038021255815,18.423170311780517,18.383419213954443,2.46781642337592,4841.6807,119.99716768292657,0.8000378302439024,-2.0973946129756117e-06,2.2198453357987806e-06,0.3743909567073173,0.7039877091463393,-28.47993727713414,0.08052512555208843,-12399.651231986341,20359206.0,0.0004012893170627328,112.0,0.0
stepped_cap,0,edge_ring,2412,0,0,0,113.78109452736318,68.08623548922057,0.7947960298626082,0.06760125343247576,0.09148021229130197,42.255047533235484,42.83624749635807,2.034653235213261,4748.2471,120.01520537313424,0.7999883513432846,1.1260274834996677e-05,3.8756577390580415e-05,0.3648487480928615,0.7155872812603813,-63.92457147747219,0.18074246772375202,-12362.99041623894,38350056.0,0.005698675571692108,112.0,0.0
stepped_cap,0,interior,1083,0,0,0,149.90766389658356,146.2853185595568,0.9846891650152443,0.03665732497884988,0.05156251801465693,29.69311649609929,39.5250075367216,2.1316704005398956,4460.5254,119.99443593721216,0.800029549750692,-4.1210830987165294e-06,1.0976316643028632e-05,0.3726802965373932,0.7179606579870774,-55.795380399815286,0.15775772145147687,-10376.097122879106,29112664.0,0.001845636546547208,112.0,0.0
