case,part,time,idp,return_status,region,x,y,z,trial_state_available,trial_p,trial_q,trial_pc,trial_yield_function,newton_initial_residual,line_search_step_residual_trace_available,p_proxy,q_proxy,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,substep_trigger_reason,line_search_backtracks,line_search_reject_reason,line_search_min_alpha,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
baseline,2,0.001005,181,-1,edge,-0.020000558,-0.020000558,-1.6089277e-08,0,nan,nan,nan,nan,nan,0,-1.8814714999999993,35.05127893990538,119.99983,0.80004817,-1.2447966e-07,1.3347724e-07,0.0,0.0,-1.8814813,1.0,0.0,0.0,0.0,1.0,1.3347724e-07,-14936.04238732,-21742362.0,0.032592114,0.00111291760230914,0.37390975
baseline,2,0.001005,182,-1,edge,-0.020000555,-0.020000555,0.009999997,0,nan,nan,nan,nan,nan,0,-0.9666771333333332,27.838821876913336,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96668702,1.0,0.0,0.0,0.0,1.0,0.0,-19350.99248434,-26701480.0,0.04006318,0.001082638991386839,0.37390975
baseline,2,0.001005,193,-1,edge,-0.020000389,-0.01000028,0.010000009,0,nan,nan,nan,nan,nan,0,-3.500050666666666,25.755480099780804,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000606,1.0,0.0,0.0,0.0,1.0,0.0,-20984.2579207,-27050674.0,0.040608741,0.00066251348596706,0.37390975
baseline,2,0.001005,194,-1,lateral_boundary,-0.020000385,-0.010000277,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869788999999999,24.90554609316389,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698885,1.0,0.0,0.0,0.0,1.0,0.0,-20306.37013515,-22372552.0,0.033584666,0.0006367211427661104,0.37390975
baseline,2,0.001005,248,-1,edge,-0.01000028,-0.020000389,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000493333333336,25.755481122688458,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000594,1.0,0.0,0.0,0.0,1.0,0.0,-20984.25470337,-27050674.0,0.040608741,0.000662513419445629,0.37390975
baseline,2,0.001005,249,-1,lateral_boundary,-0.010000277,-0.020000385,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869768999999996,24.905539633217565,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698683,1.0,0.0,0.0,0.0,1.0,0.0,-20306.36792325,-22372550.0,0.033584662,0.0006367211280656718,0.37390975
baseline,2,0.001005,259,-1,bottom_cap_zone,-0.010000105,-0.010000105,0.010000018,0,nan,nan,nan,nan,nan,0,-4.197806666666668,26.494444792023035,119.99934,0.80005151,-4.8932566e-07,5.079059e-07,0.0,0.0,-4.1978168,1.0,0.0,0.0,0.0,1.0,5.079059e-07,-21835.96222539,-28421324.0,0.042672832,0.00022574628744791947,0.37390975
baseline,2,0.001005,260,-1,interior,-0.010000101,-0.010000101,0.020000005,0,nan,nan,nan,nan,nan,0,-2.953822666666667,26.327692947827313,119.99969,0.80005103,-2.2951392e-07,2.3841297e-07,0.0,0.0,-2.9538324,1.0,0.0,0.0,0.0,1.0,2.3841297e-07,-21326.24458434,-24254424.0,0.036411412,0.00019016237926695387,0.37390975
baseline,2,0.001005,261,-1,interior,-0.010000102,-0.010000102,0.029999999,0,nan,nan,nan,nan,nan,0,-1.3833685666666664,24.91002730262498,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833785,1.0,0.0,0.0,0.0,1.0,0.0,-20548.64109794,-21592392.0,0.032409854,0.00019200650187854468,0.37390975
baseline,2,0.001005,313,-1,edge,2.270774e-14,-0.030000759,-1.704692e-08,0,nan,nan,nan,nan,nan,0,-2.5115099666666665,31.983000507099682,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115201,1.0,0.0,0.0,0.0,1.0,0.0,-15650.70505503,-22767612.0,0.034136422,0.0011099043798618062,0.37390975
baseline,2,0.001005,314,-1,edge,3.3819613e-14,-0.030000756,0.009999997,0,nan,nan,nan,nan,nan,0,-2.9556029333333336,25.34694038360168,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556127,1.0,0.0,0.0,0.0,1.0,0.0,-20244.42086663,-27926256.0,0.041912846,0.0010840687779070132,0.37390975
baseline,2,0.001005,325,-1,edge,1.4313159e-14,-0.020000296,0.010000013,0,nan,nan,nan,nan,nan,0,-4.415032666666667,25.80406304360768,119.9977,0.80005389,-1.7053262e-06,1.7668345e-06,0.0,0.0,-4.4150429,1.0,0.0,0.0,0.0,1.0,1.7668345e-06,-22691.59728594,-28763492.0,0.043204997,0.0004261969987560803,0.37390975
baseline,2,0.001005,326,-1,lateral_boundary,2.1761772e-14,-0.02000029,0.020000003,0,nan,nan,nan,nan,nan,0,-2.8495131333333323,25.59882133881574,119.9985,0.80005276,-1.1101758e-06,1.1510047e-06,0.0,0.0,-2.8495231,1.0,0.0,0.0,0.0,1.0,1.1510047e-06,-21866.8741143,-23219272.0,0.034879919,0.00039667968420899403,0.37390975
baseline,2,0.001005,327,-1,lateral_boundary,8.0221686e-15,-0.020000292,0.029999999,0,nan,nan,nan,nan,nan,0,-1.8316252000000002,24.627999183274227,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,1.0,0.0,0.0,0.0,1.0,0.0,-20722.77411826,-19305312.0,0.028998546,0.0004027826703337253,0.37390975
baseline,2,0.001005,336,-1,bottom_cap_zone,9.1723565e-14,-0.010000035,0.01000002,0,nan,nan,nan,nan,nan,0,-4.184966,25.888124622208355,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849761,1.0,0.0,0.0,0.0,1.0,0.0,-21506.69435069,-28529658.0,0.042827237,0.00010933281057397472,0.37390975
baseline,2,0.001005,337,-1,interior,9.9536014e-14,-0.010000031,0.020000005,0,nan,nan,nan,nan,nan,0,-3.1187089999999995,25.982492877142327,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187189,1.0,0.0,0.0,0.0,1.0,0.0,-21241.1116803,-25330676.0,0.038017955,5.496767327852546e-05,0.37390975
baseline,2,0.001005,338,-1,interior,-8.0213505e-14,-0.010000032,0.029999999,0,nan,nan,nan,nan,nan,0,-1.7809187000000002,24.69847821338917,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809287,1.0,0.0,0.0,0.0,1.0,0.0,-20709.71940565,-23506980.0,0.035275787,5.190755579978422e-05,0.37390975
baseline,2,0.001005,402,-1,edge,0.01000028,-0.020000389,0.010000009,0,nan,nan,nan,nan,nan,0,-3.500046333333333,25.755476729709592,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000565,1.0,0.0,0.0,0.0,1.0,0.0,-20984.25510555,-27050680.0,0.040608749,0.0006625134520132743,0.37390975
baseline,2,0.001005,403,-1,lateral_boundary,0.010000277,-0.020000385,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869815333333333,24.90553998299342,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699142,1.0,0.0,0.0,0.0,1.0,0.0,-20306.36651571,-22372544.0,0.033584654,0.0006367210648736596,0.37390975
baseline,2,0.001005,413,-1,bottom_cap_zone,0.010000105,-0.010000105,0.010000018,0,nan,nan,nan,nan,nan,0,-4.1978056666666665,26.49444503286386,119.99934,0.80005151,-4.8932509e-07,5.0790533e-07,0.0,0.0,-4.1978159,1.0,0.0,0.0,0.0,1.0,5.0790533e-07,-21835.96091839,-28421314.0,0.042672817,0.00022574630122773823,0.37390975
baseline,2,0.001005,414,-1,interior,0.010000101,-0.010000101,0.020000005,0,nan,nan,nan,nan,nan,0,-2.9538233333333337,26.3276913026441,119.99969,0.80005103,-2.2951676e-07,2.3841592e-07,0.0,0.0,-2.9538338,1.0,0.0,0.0,0.0,1.0,2.3841592e-07,-21326.2447854,-24254424.0,0.036411412,0.00019016246546510086,0.37390975
baseline,2,0.001005,415,-1,interior,0.010000102,-0.010000102,0.029999999,0,nan,nan,nan,nan,nan,0,-1.3833727666666669,24.910026022084118,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833827,1.0,0.0,0.0,0.0,1.0,0.0,-20548.64290768,-21592390.0,0.032409851,0.00019200645941040785,0.37390975
baseline,2,0.001005,467,-1,edge,0.020000558,-0.020000558,-1.6089267e-08,0,nan,nan,nan,nan,nan,0,-1.8814714333333342,35.05128296772906,119.99983,0.80004817,-1.2447812e-07,1.3347561e-07,0.0,0.0,-1.8814813,1.0,0.0,0.0,0.0,1.0,1.3347561e-07,-14936.04359381,-21742362.0,0.032592114,0.0011129176015273578,0.37390975
baseline,2,0.001005,468,-1,edge,0.020000555,-0.020000555,0.009999997,0,nan,nan,nan,nan,nan,0,-0.9666863999999998,27.8388272570022,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96669656,1.0,0.0,0.0,0.0,1.0,0.0,-19350.99338922,-26701478.0,0.040063176,0.0010826389487713975,0.37390975
baseline,2,0.001005,479,-1,edge,0.020000389,-0.01000028,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000486666666664,25.755477735286938,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000587,1.0,0.0,0.0,0.0,1.0,0.0,-20984.2606353,-27050680.0,0.040608749,0.0006625133878638938,0.37390975
baseline,2,0.001005,480,-1,lateral_boundary,0.020000385,-0.010000277,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869791333333337,24.905541400519123,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698903,1.0,0.0,0.0,0.0,1.0,0.0,-20306.3694314,-22372544.0,0.033584654,0.0006367210935005045,0.37390975
baseline,2,0.001005,159,-1,edge,-0.030000759,2.8116574e-14,-1.7046998e-08,0,nan,nan,nan,nan,nan,0,-2.511518333333333,31.983004263789766,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115283,1.0,0.0,0.0,0.0,1.0,0.0,-15650.70766909,-22767610.0,0.034136418,0.0011099043840021867,0.37390975
baseline,2,0.001005,160,-1,edge,-0.030000756,1.6161328e-14,0.009999997,0,nan,nan,nan,nan,nan,0,-2.9556055666666663,25.34694304420722,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556158,1.0,0.0,0.0,0.0,1.0,0.0,-20244.42217367,-27926256.0,0.041912846,0.001084068777995578,0.37390975
baseline,2,0.001005,204,-1,edge,-0.020000296,4.3128824e-14,0.010000013,0,nan,nan,nan,nan,nan,0,-4.415033,25.804062143303796,119.9977,0.80005389,-1.7053248e-06,1.7668332e-06,0.0,0.0,-4.4150434,1.0,0.0,0.0,0.0,1.0,1.7668332e-06,-22691.59638106,-28763492.0,0.043204997,0.00042619696850578886,0.37390975
baseline,2,0.001005,205,-1,lateral_boundary,-0.02000029,-8.5403901e-15,0.020000003,0,nan,nan,nan,nan,nan,0,-2.849514133333333,25.598815453776602,119.9985,0.80005276,-1.1101752e-06,1.1510039e-06,0.0,0.0,-2.849524,1.0,0.0,0.0,0.0,1.0,1.1510039e-06,-21866.87280724,-23219268.0,0.034879915,0.0003966796541178195,0.37390975
baseline,2,0.001005,206,-1,lateral_boundary,-0.020000292,-3.757945e-14,0.029999999,0,nan,nan,nan,nan,nan,0,-1.8316252333333332,24.628001106230176,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,1.0,0.0,0.0,0.0,1.0,0.0,-20722.77321342,-19305312.0,0.028998548,0.00040278267001360067,0.37390975
baseline,2,0.001005,215,-1,edge,-0.020000389,0.01000028,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000523333333327,25.755479582094583,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000622,1.0,0.0,0.0,0.0,1.0,0.0,-20984.25711638,-27050678.0,0.040608745,0.0006625133858998034,0.37390975
baseline,2,0.001005,216,-1,lateral_boundary,-0.020000385,0.010000277,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869850999999995,24.905542968740534,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699493,1.0,0.0,0.0,0.0,1.0,0.0,-20306.36852649,-22372542.0,0.033584651,0.0006367211278518925,0.37390975
baseline,2,0.001005,225,-1,edge,-0.020000558,0.020000558,-1.6089261e-08,0,nan,nan,nan,nan,nan,0,-1.8814711000000006,35.05128298774778,119.99983,0.80004817,-1.2447686e-07,1.3347424e-07,0.0,0.0,-1.8814811,1.0,0.0,0.0,0.0,1.0,1.3347424e-07,-14936.04299058,-21742358.0,0.032592107,0.0011129175215581044,0.37390975
baseline,2,0.001005,226,-1,edge,-0.020000555,0.020000555,0.009999997,0,nan,nan,nan,nan,nan,0,-0.9666909333333328,27.838829713412284,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670103,1.0,0.0,0.0,0.0,1.0,0.0,-19350.99811465,-26701486.0,0.040063191,0.001082639076125905,0.37390975
baseline,2,0.001005,270,-1,bottom_cap_zone,-0.010000035,-2.4947063e-14,0.01000002,0,nan,nan,nan,nan,nan,0,-4.184969333333334,25.888131270350836,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849794,1.0,0.0,0.0,0.0,1.0,0.0,-21506.69455184,-28529650.0,0.042827226,0.00010933290654977483,0.37390975
baseline,2,0.001005,271,-1,interior,-0.010000031,-3.1603094e-14,0.020000005,0,nan,nan,nan,nan,nan,0,-3.1187086666666666,25.982495553411503,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187186,1.0,0.0,0.0,0.0,1.0,0.0,-21241.11399276,-25330684.0,0.038017966,5.4967864378333914e-05,0.37390975
baseline,2,0.001005,272,-1,interior,-0.010000032,-6.4334134e-15,0.029999999,0,nan,nan,nan,nan,nan,0,-1.7809183666666677,24.698477705518435,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809285,1.0,0.0,0.0,0.0,1.0,0.0,-20709.71739483,-23506980.0,0.035275787,5.1907567068960985e-05,0.37390975
baseline,2,0.001005,281,-1,bottom_cap_zone,-0.010000105,0.010000105,0.010000018,0,nan,nan,nan,nan,nan,0,-4.197807666666668,26.49444293962278,119.99934,0.80005151,-4.8932708e-07,5.0790743e-07,0.0,0.0,-4.1978178,1.0,0.0,0.0,0.0,1.0,5.0790743e-07,-21835.96031513,-28421316.0,0.04267282,0.00022574626751234827,0.37390975
baseline,2,0.001005,282,-1,interior,-0.010000101,0.010000101,0.020000005,0,nan,nan,nan,nan,nan,0,-2.953825,26.327687412694,119.99969,0.80005103,-2.2951713e-07,2.3841629e-07,0.0,0.0,-2.9538352,1.0,0.0,0.0,0.0,1.0,2.3841629e-07,-21326.24669568,-24254422.0,0.036411408,0.00019016239035816315,0.37390975
baseline,2,0.001005,283,-1,interior,-0.010000102,0.010000102,0.029999999,0,nan,nan,nan,nan,nan,0,-1.3833718333333345,24.910024761539354,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833817,1.0,0.0,0.0,0.0,1.0,0.0,-20548.64280717,-21592384.0,0.032409843,0.00019200642342872266,0.37390975
baseline,2,0.001005,292,-1,edge,-0.01000028,0.020000389,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000509999999996,25.755479611619005,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000608,1.0,0.0,0.0,0.0,1.0,0.0,-20984.26093694,-27050684.0,0.040608756,0.0006625134868509751,0.37390975
baseline,2,0.001005,293,-1,lateral_boundary,-0.010000277,0.020000385,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869783000000007,24.90554172564899,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698826,1.0,0.0,0.0,0.0,1.0,0.0,-20306.36923031,-22372548.0,0.033584658,0.0006367210615573377,0.37390975
baseline,2,0.001005,358,-1,bottom_cap_zone,7.2330481e-15,0.010000035,0.01000002,0,nan,nan,nan,nan,nan,0,-4.184971666666667,25.888124447565243,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849818,1.0,0.0,0.0,0.0,1.0,0.0,-21506.69535621,-28529652.0,0.04282723,0.00010933280921566766,0.37390975
baseline,2,0.001005,359,-1,interior,-1.2509666e-14,0.010000031,0.020000005,0,nan,nan,nan,nan,nan,0,-3.1187123333333333,25.982495108680062,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187222,1.0,0.0,0.0,0.0,1.0,0.0,-21241.11369113,-25330664.0,0.038017936,5.4967823789986866e-05,0.37390975
baseline,2,0.001005,360,-1,interior,1.3619347e-14,0.010000032,0.029999999,0,nan,nan,nan,nan,nan,0,-1.7809229333333334,24.698478459146322,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809329,1.0,0.0,0.0,0.0,1.0,0.0,-20709.71960678,-23506980.0,0.035275787,5.1907538688454035e-05,0.37390975
baseline,2,0.001005,369,-1,edge,5.2957083e-14,0.020000296,0.010000013,0,nan,nan,nan,nan,nan,0,-4.415034333333334,25.804058051259474,119.9977,0.80005389,-1.7053245e-06,1.7668328e-06,0.0,0.0,-4.4150448,1.0,0.0,0.0,0.0,1.0,1.7668328e-06,-22691.59859295,-28763494.0,0.043205,0.00042619695374264025,0.37390975
baseline,2,0.001005,370,-1,lateral_boundary,1.0300861e-13,0.02000029,0.020000003,0,nan,nan,nan,nan,nan,0,-2.8495138,25.59881636094154,119.9985,0.80005276,-1.110175e-06,1.1510037e-06,0.0,0.0,-2.8495238,1.0,0.0,0.0,0.0,1.0,1.1510037e-06,-21866.87904074,-23219274.0,0.034879923,0.00039667965465685795,0.37390975
baseline,2,0.001005,371,-1,lateral_boundary,-5.0740811e-14,0.020000292,0.029999999,0,nan,nan,nan,nan,nan,0,-1.8316259,24.628004136593475,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.831636,1.0,0.0,0.0,0.0,1.0,0.0,-20722.77421883,-19305308.0,0.028998543,0.00040278258948770997,0.37390975
baseline,2,0.001005,424,-1,bottom_cap_zone,0.010000035,1.5965182e-14,0.01000002,0,nan,nan,nan,nan,nan,0,-4.184968333333333,25.888123963891076,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849785,1.0,0.0,0.0,0.0,1.0,0.0,-21506.6955573,-28529650.0,0.042827226,0.00010933271906742664,0.37390975
baseline,2,0.001005,425,-1,interior,0.010000031,-2.3822629e-14,0.020000005,0,nan,nan,nan,nan,nan,0,-3.1187129999999996,25.98249609944262,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187227,1.0,0.0,0.0,0.0,1.0,0.0,-21241.11781334,-25330672.0,0.038017947,5.49676878062223e-05,0.37390975
baseline,2,0.001005,426,-1,interior,0.010000032,-9.2576153e-15,0.029999999,0,nan,nan,nan,nan,nan,0,-1.7809249000000011,24.69847995568289,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809352,1.0,0.0,0.0,0.0,1.0,0.0,-20709.72000893,-23506980.0,0.035275787,5.190764204649858e-05,0.37390975
baseline,2,0.001005,435,-1,bottom_cap_zone,0.010000105,0.010000105,0.010000018,0,nan,nan,nan,nan,nan,0,-4.197807,26.494448508769803,119.99934,0.80005151,-4.8932958e-07,5.0791004e-07,0.0,0.0,-4.1978173,1.0,0.0,0.0,0.0,1.0,5.0791004e-07,-21835.9624265,-28421314.0,0.042672817,0.00022574622064347726,0.37390975
baseline,2,0.001005,436,-1,interior,0.010000101,0.010000101,0.020000005,0,nan,nan,nan,nan,nan,0,-2.953823666666667,26.327692240101772,119.99969,0.80005103,-2.2951915e-07,2.3841841e-07,0.0,0.0,-2.9538341,1.0,0.0,0.0,0.0,1.0,2.3841841e-07,-21326.24941034,-24254424.0,0.036411412,0.00019016245334198788,0.37390975
baseline,2,0.001005,437,-1,interior,0.010000102,0.010000102,0.029999999,0,nan,nan,nan,nan,nan,0,-1.3833718000000008,24.91002529703946,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833817,1.0,0.0,0.0,0.0,1.0,0.0,-20548.64391312,-21592384.0,0.032409843,0.00019200651535888997,0.37390975
baseline,2,0.001005,446,-1,edge,0.01000028,0.020000389,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000533333333324,25.75547834631559,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000632,1.0,0.0,0.0,0.0,1.0,0.0,-20984.26204284,-27050684.0,0.040608756,0.0006625134886450883,0.37390975
baseline,2,0.001005,447,-1,lateral_boundary,0.010000277,0.020000385,0.020000001,0,nan,nan,nan,nan,nan,0,-0.786983966666666,24.90554207026343,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.7869938,1.0,0.0,0.0,0.0,1.0,0.0,-20306.3716433,-22372542.0,0.033584651,0.0006367211450333471,0.37390975
baseline,2,0.001005,490,-1,edge,0.020000296,1.1732576e-15,0.010000013,0,nan,nan,nan,nan,nan,0,-4.415033333333333,25.804062467191724,119.9977,0.80005389,-1.7053231e-06,1.7668315e-06,0.0,0.0,-4.4150438,1.0,0.0,0.0,0.0,1.0,1.7668315e-06,-22691.59688376,-28763496.0,0.043205004,0.0004261968601724172,0.37390975
baseline,2,0.001005,491,-1,lateral_boundary,0.02000029,-2.3080913e-14,0.020000003,0,nan,nan,nan,nan,nan,0,-2.8495131666666667,25.59881390381086,119.9985,0.80005276,-1.1101749e-06,1.1510036e-06,0.0,0.0,-2.8495231,1.0,0.0,0.0,0.0,1.0,1.1510036e-06,-21866.87652722,-23219276.0,0.034879927,0.00039667954466173275,0.37390975
baseline,2,0.001005,492,-1,lateral_boundary,0.020000292,8.3968639e-14,0.029999999,0,nan,nan,nan,nan,nan,0,-1.8316275666666666,24.627999141336876,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316375,1.0,0.0,0.0,0.0,1.0,0.0,-20722.77452048,-19305312.0,0.028998548,0.0004027826091786631,0.37390975
baseline,2,0.001005,501,-1,edge,0.020000389,0.01000028,0.010000009,0,nan,nan,nan,nan,nan,0,-3.5000590000000003,25.755480176285634,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000691,1.0,0.0,0.0,0.0,1.0,0.0,-20984.26194233,-27050682.0,0.040608753,0.0006625134689901667,0.37390975
baseline,2,0.001005,502,-1,lateral_boundary,0.020000385,0.010000277,0.020000001,0,nan,nan,nan,nan,nan,0,-0.7869846333333322,24.905538161915548,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699476,1.0,0.0,0.0,0.0,1.0,0.0,-20306.36912977,-22372542.0,0.033584651,0.0006367210442565552,0.37390975
baseline,2,0.001005,511,-1,edge,0.020000558,0.020000558,-1.6089265e-08,0,nan,nan,nan,nan,nan,0,-1.8814701333333332,35.05128226208379,119.99983,0.80004817,-1.2447802e-07,1.3347551e-07,0.0,0.0,-1.8814801,1.0,0.0,0.0,0.0,1.0,1.3347551e-07,-14936.0420857,-21742364.0,0.032592118,0.0011129175162165614,0.37390975
baseline,2,0.001005,512,-1,edge,0.020000555,0.020000555,0.009999997,0,nan,nan,nan,nan,nan,0,-0.966694466666666,27.83883004315677,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670449,1.0,0.0,0.0,0.0,1.0,0.0,-19350.99680762,-26701484.0,0.040063187,0.001082638991282512,0.37390975
baseline,2,0.001005,533,-1,edge,0.030000759,-8.7415477e-15,-1.7046942e-08,0,nan,nan,nan,nan,nan,0,-2.511513566666667,31.98300126305308,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115235,1.0,0.0,0.0,0.0,1.0,0.0,-15650.70636208,-22767610.0,0.034136418,0.001109904179178203,0.37390975
baseline,2,0.001005,534,-1,edge,0.030000756,-2.4594657e-14,0.009999997,0,nan,nan,nan,nan,nan,0,-2.9556118666666666,25.34694909050027,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.955622,1.0,0.0,0.0,0.0,1.0,0.0,-20244.4237823,-27926264.0,0.041912857,0.0010840688782101588,0.37390975
baseline,2,0.001005,379,-1,edge,2.9260546e-15,0.030000759,-1.7046986e-08,0,nan,nan,nan,nan,nan,0,-2.511508966666666,31.98300045496223,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115192,1.0,0.0,0.0,0.0,1.0,0.0,-15650.70746802,-22767614.0,0.034136426,0.0011099043822588677,0.37390975
baseline,2,0.001005,380,-1,edge,-1.0278649e-14,0.030000756,0.009999997,0,nan,nan,nan,nan,nan,0,-2.9556048333333327,25.34694454650405,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556148,1.0,0.0,0.0,0.0,1.0,0.0,-20244.4222742,-27926262.0,0.041912854,0.0010840687781904215,0.37390975
baseline,2,0.001005,262,-1,interior,-0.010000102,-0.010000102,0.039999999,0,nan,nan,nan,nan,nan,0,-1.1871705666666674,24.558620634060908,120.0,0.80004954,0.0,0.0,0.0,0.0,-1.1871806,1.0,0.0,0.0,0.0,1.0,0.0,-20469.88346908,-21181394.0,0.031796586,0.00019303864501241046,0.37390975
baseline,2,0.001005,263,-1,interior,-0.010000102,-0.010000102,0.049999997,0,nan,nan,nan,nan,nan,0,-0.6308701333333335,25.173223166042437,120.0,0.80004919,0.0,0.0,0.0,0.0,-0.63088018,1.0,0.0,0.0,0.0,1.0,0.0,-20246.99638381,-19963364.0,0.029972503,0.00019458197809339435,0.37390975
baseline,2,0.001005,328,-1,lateral_boundary,-8.9355327e-15,-0.020000292,0.039999999,0,nan,nan,nan,nan,nan,0,-1.2716325999999991,24.264384506980004,120.0,0.80005044,0.0,0.0,0.0,0.0,-1.2716427,1.0,0.0,0.0,0.0,1.0,0.0,-20498.67441976,-18415694.0,0.027665857,0.00040523104242689667,0.37390975
baseline,2,0.001005,329,-1,lateral_boundary,-1.5720269e-15,-0.020000292,0.049999997,0,nan,nan,nan,nan,nan,0,-0.7679078000000003,24.80042552722142,120.0,0.80005008,0.0,0.0,0.0,0.0,-0.76791775,1.0,0.0,0.0,0.0,1.0,0.0,-20296.86320742,-17322040.0,0.026028007,0.00040624264676305643,0.37390975
baseline,2,0.001005,339,-1,interior,-3.7617553e-14,-0.010000032,0.039999999,0,nan,nan,nan,nan,nan,0,-1.794349066666668,24.411314729181893,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7943591,1.0,0.0,0.0,0.0,1.0,0.0,-20714.70048628,-23372200.0,0.035077732,5.227712480511666e-05,0.37390975
baseline,2,0.001005,340,-1,interior,6.9191343e-14,-0.010000032,0.049999997,0,nan,nan,nan,nan,nan,0,-1.207174066666666,25.08961561236875,120.0,0.80004936,0.0,0.0,0.0,0.0,-1.207184,1.0,0.0,0.0,0.0,1.0,0.0,-20479.43828076,-22082540.0,0.033146352,5.689266905877432e-05,0.37390975
baseline,2,0.001005,416,-1,interior,0.010000102,-0.010000102,0.039999999,0,nan,nan,nan,nan,nan,0,-1.187168033333333,24.55861797148626,120.0,0.80004954,0.0,0.0,0.0,0.0,-1.1871781,1.0,0.0,0.0,0.0,1.0,0.0,-20469.87964854,-21181384.0,0.031796571,0.00019303866403914342,0.37390975
baseline,2,0.001005,417,-1,interior,0.010000102,-0.010000102,0.049999997,0,nan,nan,nan,nan,nan,0,-0.6308771333333336,25.173231769550114,120.0,0.80004919,0.0,0.0,0.0,0.0,-0.63088715,1.0,0.0,0.0,0.0,1.0,0.0,-20246.9951773,-19963364.0,0.029972503,0.0001945820661863977,0.37390975
baseline,2,0.001005,207,-1,lateral_boundary,-0.020000292,-3.2769052e-14,0.039999999,0,nan,nan,nan,nan,nan,0,-1.271633933333333,24.264383763023872,120.0,0.80005044,0.0,0.0,0.0,0.0,-1.271644,1.0,0.0,0.0,0.0,1.0,0.0,-20498.67723489,-18415694.0,0.027665855,0.0004052310716607781,0.37390975
baseline,2,0.001005,208,-1,lateral_boundary,-0.020000292,4.3362496e-14,0.049999997,0,nan,nan,nan,nan,nan,0,-0.7679092333333326,24.800427366201752,120.0,0.80005008,0.0,0.0,0.0,0.0,-0.76791918,1.0,0.0,0.0,0.0,1.0,0.0,-20296.86521822,-17322044.0,0.026028013,0.0004062426780987595,0.37390975
