run,time,frame,particles,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,case,TimeMax,TimeOut
T0p05,0.0,PartCsv_0000,1000,0,0,52437,123.984268,True,True,49.05000209808,9760.950417519,4905.000209808328,9760.950417519,0.0,0.0,0.0,0.0,-17.464165,16.201284,1.764215812489899,17.464165,0.0,0.0,0.0,0.0,-725604.19,725604.25,-9.620557655580342e-05,725604.25,-73.965759,73.965759,2.6456401155741105e-06,73.965759,0.0,0.0,0.0,0.0,0.0049999999,0.995,20,20,20,0.0,0.0,0.0,0.0,17.4641660440367,S1_BGStop_T005,0.05,0.002
T0p05,0.002001,PartCsv_0001,1000,0,0,52437,123.984268,True,True,49.23170799805,23362.79727611,10781.924153253745,23362.79727611,-8.393084807778e-05,13647.40123524,5876.761818591891,13647.40123524,-650669500.0,666593600.0,10089381.619259998,666593600.0,-0.12884693,-0.0018070545,-0.015134238633600005,0.12884693,-9601631.0,10017824.0,-4.982245499979705,10017824.0,-73.965881,73.97036,0.0003425398749843396,73.97036,0.017945159,0.01391719072130002,27.979586000000054,-1.6527528999998973e-05,0.004993665,0.99498147,20,20,20,8.393084807778e-05,13601.784707425002,-0.5853415389956353,85897953.33333334,664617016.9024806,S1_BGStop_T005,0.05,0.002
T0p05,0.004,PartCsv_0002,1000,0,0,52437,123.984268,True,True,49.41477907397,32137.34952494,20051.001852494763,32137.34952494,2.621670332559e-05,22812.53626436,15145.783342395034,22812.53626436,-112823680.0,397072960.0,-1712575.9358899994,397072960.0,-0.086502768,0.14911811,0.0025699937648119924,0.14911811,-784553.12,5232431.0,11.632883000142407,5232431.0,-73.975677,73.974426,-5.644564886821968e-05,73.975677,0.009802990600000006,0.008994944713499986,23.764048000000003,-2.225096499999818e-05,0.0050014374,0.99496281,20,20,20,3.379664573799e-05,22376.413211900006,0.51694586650774,99412073.33333334,339404478.7291879,S1_BGStop_T005,0.05,0.002
T0p05,0.006001,PartCsv_0003,1000,0,0,52437,123.984268,True,True,-8201.482813828,147.1168266652,-5736.022317457998,8201.482813828,-17000.81126674,0.000124304644828,-10640.995129549814,17000.81126674,-488263010.0,35967508.0,-16889862.0860822,488263010.0,-0.045525957,0.30573168,0.02533494208858001,0.30573168,-3947578.8,2030468.5,1.2327766999888699,3947578.8,-73.956497,73.96714,2.1833449623883893e-05,73.96714,0.02657743500000003,0.00953885283297002,16.75648900000003,2.7952150000029165e-06,0.0050002574,0.99500531,20,20,20,0.000124304644828,-16959.388892935003,0.49475507299939636,203821120.00000003,284441917.6004078,S1_BGStop_T005,0.05,0.002
T0p05,0.008,PartCsv_0004,1000,0,0,52437,123.984268,True,True,-2020.236249561,178.3091959036,-1300.9648286499466,2020.236249561,-9589.027857489,-6.110533686865e-05,-6205.939888717291,9589.027857489,-14230758.0,96056640.0,11183407.147148002,96056640.0,-0.17600951,0.043110758,-0.01677474548372,0.17600951,-1651176.6,412262.31,2.301086639130255,1651176.6,-73.949226,73.973671,0.00013180035214142548,73.973671,0.01722266300000005,0.007842665802566269,12.254725000000235,2.5642120000018714e-06,0.0050011231,0.99501348,20,20,20,8.05516788418e-05,-9582.630204977,-0.41937030185181357,117339673.33333336,128379822.32823652,S1_BGStop_T005,0.05,0.002
T0p05,0.010001,PartCsv_0005,1000,0,0,52437,123.984268,True,True,49.23251929876,21866.45878554,12848.480812061602,21866.45878554,-3.32399723959e-05,12108.62067706,7943.366844038312,12108.62067706,54055.66,246777500.0,4120476.7709129993,246777500.0,-0.059010468,0.0099263377,-0.006180311988919995,0.059010468,-722250.31,3292242.0,4.931786692019086,3292242.0,-73.971718,73.973877,-9.916553295863651e-05,73.973877,0.007107000800000016,0.0029457632155900273,14.217313000000022,-1.1595215000001587e-05,0.0050007394,0.99498141,20,20,20,3.32399723959e-05,12105.51562191,-0.06419688799724099,39340312.00000001,207554553.0805301,S1_BGStop_T005,0.05,0.002
T0p05,0.012,PartCsv_0006,1000,0,0,52437,123.984268,True,True,49.15975462168,11410.96404399,5852.349293977315,11410.96404399,-28.85483286856,1650.784599654,947.2750219482507,1650.784599654,-70695624.0,-294670.06,-6217875.336610001,70695624.0,-0.0084824925,0.099508308,0.009326874809620002,0.099508308,-724882.94,693725.38,0.6385458859843202,724882.94,-73.965813,73.975685,-3.838143863603704e-06,73.975685,0.010526123000000007,0.004970702126240014,2.387754400000042,-7.549531000001367e-06,0.0050006798,0.9949888,20,20,20,4.923145719715e-05,1650.0202933309997,0.28966751024972837,66338872.00000001,40410874.85069657,S1_BGStop_T005,0.05,0.002
T0p05,0.014001,PartCsv_0007,1000,0,0,52437,123.984268,True,True,-44.86052537962,3083.393156151,827.3692619776465,3083.393156151,-6682.834713484,7.076993625788e-06,-4077.6370220368844,6682.834713484,-84278432.0,469945.66,-753024.928959,84278432.0,-0.020935984,0.021233896,0.0011296331287358986,0.021233896,-1120790.0,492088.97,0.19632305999752134,1120790.0,-73.960846,73.972237,7.567458146905892e-05,73.972237,0.0016467540000000003,0.0007225879951400545,6.72837540000002,-6.175600000025202e-07,0.0050014569,0.99500221,20,20,20,7.076993625788e-06,-6677.542968426498,-0.00596876579857053,14155930.666666668,92336332.1053347,S1_BGStop_T005,0.05,0.002
T0p05,0.016,PartCsv_0008,1000,0,0,52437,123.984268,True,True,49.0834090845,9691.645511877,4881.107402039886,9691.645511877,-72.51606079331,21.29491817776,-23.930734559330244,72.51606079331,-123356.05,26100350.0,3029329.9853632962,26100350.0,-0.026678238,0.0038036099,-0.004544003326599999,0.026678238,-724461.5,750666.88,-0.8231165133897448,750666.88,-73.966614,73.972176,7.583420414593433e-05,73.972176,0.0049327533000000055,0.0027501316944899983,0.6104519400000256,-3.865386000000241e-06,0.0050009913,0.99499661,20,20,20,2.307085380693e-05,-69.29518079984399,-0.1528469339649945,17785492.000000004,12782009.337546723,S1_BGStop_T005,0.05,0.002
T0p05,0.018001,PartCsv_0009,1000,0,0,52437,123.984268,True,True,49.14755159133,13365.40439309,7224.30461516708,13365.40439309,-1.556507783107e-06,3604.945430807,2319.2359555120706,3604.945430807,-878692.0,60000928.0,221737.56129980023,60000928.0,-0.010154655,0.0014122665,-0.0003326686435981003,0.010154655,-725149.06,1030106.6,-1.3653943999750773,1030106.6,-73.973236,73.973465,7.691305597391818e-05,73.973465,0.00033279505000005833,0.00016141857267709152,3.8140011000000027,-6.977895999998969e-06,0.0050008423,0.99499005,20,20,20,1.556507783107e-06,3604.462239761,0.03193569970017052,6769770.000000001,53831180.41522256,S1_BGStop_T005,0.05,0.002
T0p05,0.02,PartCsv_0010,1000,0,0,52437,123.984268,True,True,49.10357495411,8939.360307848,4430.858965439676,8939.360307848,-822.4820662016,1.565922971025e-05,-474.18517845099416,822.4820662016,-37719696.0,-90520.438,-2055329.9667579995,37719696.0,-0.0018735758,0.029746313,0.003083025198187996,0.029746313,-726672.31,674322.88,-0.45002893251762727,726672.31,-73.968536,73.972481,7.595681232430707e-05,73.972481,0.0033480821000000096,0.0015632877841510017,0.9340568800000336,-4.478354999999613e-06,0.0050009564,0.99499452,20,20,20,1.565922971025e-05,-821.5807286984851,0.08335653996493875,19830875.333333336,18636595.622833844,S1_BGStop_T005,0.05,0.002
T0p05,0.022001,PartCsv_0011,1000,0,0,52437,123.984268,True,True,49.07581291883,7718.464668698,3655.4492617326027,7718.464668698,-2043.022854191,-2.13413812844e-06,-1249.581796686329,2043.022854191,-21720984.0,1176186.1,370438.5945582007,21720984.0,-0.0084936423,0.0046703829,-0.0005556287298830025,0.0084936423,-726258.5,659597.81,-0.45597778999153527,726258.5,-73.966652,73.971344,7.567719458074862e-05,73.971344,0.000654949520000079,0.0003669815829784707,2.101128800000002,-3.143558000001821e-06,0.0050008921,0.99499738,20,20,20,3.063247817181e-06,-2042.4769966709996,-0.034047357999725136,5662428.2,26367330.83792049,S1_BGStop_T005,0.05,0.002
T0p05,0.024,PartCsv_0012,1000,0,0,52437,123.984268,True,True,49.10541726426,10519.33651254,5419.08803662697,10519.33651254,-7.40087003237e-06,771.9738698953,514.0411140815916,771.9738698953,-1348312.5,22593450.0,987375.7660892991,22593450.0,-0.010974125,0.00087942864,-0.0014810860984719987,0.010974125,-725532.0,766518.5,-0.9709258500047726,766518.5,-73.969452,73.971718,7.659601787379699e-05,73.971718,0.0015823712000000141,0.000769693892321004,0.8931794800023586,-4.764219000000062e-06,0.005000799,0.99499434,20,20,20,7.40087003237e-06,758.39393425435,-0.0366451653801505,7316083.333333334,15277371.849813119,S1_BGStop_T005,0.05,0.002
T0p05,0.026001,PartCsv_0013,1000,0,0,52437,123.984268,True,True,49.11543241412,10602.81352504,5470.886086290768,10602.81352504,2.553808911898e-06,845.0269218107,565.8358619671781,845.0269218107,-790224.12,9858393.0,-395385.16882700083,9858393.0,-0.0027137343,0.0040376149,0.0005930662943699999,0.0040376149,-725690.75,755402.0,-0.8594109949718696,755402.0,-73.970863,73.971886,7.611055713776693e-05,73.971886,0.0006503694500000205,0.00040549133621200963,0.9894839500000007,-5.093874999998887e-06,0.0050007864,0.99499333,20,20,20,3.041826829531e-06,841.8708226321999,0.02929257611469893,2691743.266666667,11955984.626571529,S1_BGStop_T005,0.05,0.002
T0p05,0.028,PartCsv_0014,1000,0,0,52437,123.984268,True,True,49.0949057002,9039.064659914,4479.925312441201,9039.064659914,-722.4100603605,3.615533067602e-06,-425.11463155386474,722.4100603605,-15535289.0,-33963.773,-488062.8622809998,15535289.0,-0.00032544506,0.0055657392,0.0007321073350400007,0.0055657392,-726249.69,693280.31,-0.6134061649035429,726249.69,-73.968422,73.971489,7.552375972244363e-05,73.971489,0.0007730327200000102,0.00038292066835611603,0.8015899700000002,-4.050411999999221e-06,0.0050008367,0.99499542,20,20,20,3.615533067602e-06,-721.8775497487502,0.016430003989739816,3710492.8000000007,12407597.35507985,S1_BGStop_T005,0.05,0.002
T0p05,0.03,PartCsv_0015,1000,0,0,52437,123.984268,True,True,49.09406944989,9296.393924841,4646.40105229284,9296.393924841,-464.6697320318,-1.996103037527e-06,-258.6384285718758,464.6697320318,-2427020.8,1081340.4,295302.02979930036,2427020.8,-0.0028135933,0.0010891468,-0.00044294706946699977,0.0028135933,-725788.94,715190.44,-0.6857791219949723,725788.94,-73.968872,73.971153,7.592100025365767e-05,73.971153,0.00048642786000001255,0.00027105412847200876,0.43213636000000155,-4.001350000000046e-06,0.0050007869,0.99499553,20,20,20,2.275059443946e-06,-464.54877398049996,-0.018609269074943313,1875728.866666667,4302744.454638125,S1_BGStop_T005,0.05,0.002
T0p05,0.032001,PartCsv_0016,1000,0,0,52437,123.984268,True,True,49.10448905387,10138.97249521,5172.13026021747,10138.97249521,-1.564626145978e-06,394.4700034737,267.0854809520978,394.4700034737,-877058.88,9043605.0,210056.01309299987,9043605.0,-0.0029129309,0.00026987022,-0.0003150945137619996,0.0029129309,-725670.38,744357.75,-0.8525004040042404,744357.75,-73.969818,73.971291,7.642447035155442e-05,73.971291,0.0003345308900000043,0.00013347746112951365,0.4469481100007056,-4.5452770000011316e-06,0.0050007552,0.99499446,20,20,20,1.564626145978e-06,378.0294867449999,-0.004657243930068944,1941953.9333333336,7101656.457356438,S1_BGStop_T005,0.05,0.002
T0p05,0.034,PartCsv_0017,1000,0,0,52437,123.984268,True,True,49.10320342251,9825.027056591,4974.276329498532,9825.027056591,1.439150878468e-06,106.8909655096,69.23291563366129,106.8909655096,-2134553.8,-8094.1187,-241269.31628040018,2134553.8,-0.00053140329,0.0034157427,0.00036190448992199964,0.0034157427,-725830.5,727742.62,-0.7413114283063915,727742.62,-73.969833,73.971199,7.603804595314046e-05,73.971199,0.00039390236000000584,0.0002083041071338777,0.15477526000000622,-4.405472000001131e-06,0.0050007557,0.99499458,20,20,20,1.84231151934e-06,64.08405226641999,0.012340716265498486,2277161.8000000003,1194609.8820931024,S1_BGStop_T005,0.05,0.002
T0p05,0.036001,PartCsv_0018,1000,0,0,52437,123.984268,True,True,49.09672427544,9415.471492131,4713.79053103161,9415.471492131,-345.6482950424,5.429884595287e-07,-191.24965625292276,345.6482950424,-4650659.5,57.617191,-69421.81525662696,4650659.5,-0.00073343009,0.0013124628,0.00010413768020730005,0.0013124628,-725850.19,713513.75,-0.6971706910131034,725850.19,-73.96917,73.970955,7.602675411568782e-05,73.970955,0.00011986248000000852,5.7445582167410236e-05,0.3320365000000013,-4.076018999998945e-06,0.005000744,0.99499524,20,20,20,5.429884595287e-07,-345.4716254119999,0.0010394072500616858,874975.2000000001,4744191.9898063205,S1_BGStop_T005,0.05,0.002
T0p05,0.038,PartCsv_0019,1000,0,0,52437,123.984268,True,True,49.09870512385,9683.592759441,4882.37994487845,9683.592759441,-77.42478933644,0.4202649576305,-22.661218126568482,77.42478933644,-76260.25,953620.19,132038.9698852,953620.19,-0.0012780298,0.00024174657,-0.00019805774759040006,0.0012780298,-725735.88,726102.69,-0.7429079784005881,726102.69,-73.96946,73.970901,7.644605102306912e-05,73.970901,0.0002119233800000069,0.00010673694300155914,0.12881492000001118,-4.174563999999916e-06,0.0050007235,0.99499506,20,20,20,9.911823894981e-07,-77.35055883213099,-0.0067668543789807245,852019.8666666668,643007.9308868503,S1_BGStop_T005,0.05,0.002
T0p05,0.040001,PartCsv_0020,1000,0,0,52437,123.984268,True,True,49.10150185018,9864.025901252,4995.391943549147,9864.025901252,-6.512119199442e-08,134.7113436415,90.34961770936864,134.7113436415,-362165.75,2672353.2,8483.540105063059,2672353.2,-0.00045667507,0.00038755004,-1.2728786153820007e-05,0.00045667507,-725752.12,731835.31,-0.7799467656343477,731835.31,-73.969757,73.970894,7.602301309151472e-05,73.970894,3.329279900007337e-05,1.4326910097811523e-05,0.15673260000000003,-4.294397e-06,0.0050007142,0.99499476,20,20,20,6.512119199442e-08,103.08249242200004,0.002068606635049264,304450.0466666667,2375375.5412844033,S1_BGStop_T005,0.05,0.002
T0p05,0.042,PartCsv_0021,1000,0,0,52437,123.984268,True,True,49.09948804115,9673.214216361,4874.1900009930505,9673.214216361,-87.83976270412,7.327353799269e-07,-30.851068217208145,87.83976270412,-1708505.2,-3449.9929,-97368.45235350006,1708505.2,-7.5711854e-05,0.0013853272,0.0001460544323580001,0.0013853272,-725775.62,723158.06,-0.7296478999942774,725775.62,-73.969582,73.970764,7.610612676647577e-05,73.970764,0.00015666476000000858,8.006607151910558e-05,0.11898945000000517,-4.161896999998706e-06,0.0050007072,0.99499494,20,20,20,7.327353799269e-07,-87.72926158119,0.004022658587004457,923551.4666666668,910567.2626571541,S1_BGStop_T005,0.05,0.002
T0p05,0.044001,PartCsv_0022,1000,0,0,52437,123.984268,True,True,49.09804192475,9614.929030234,4836.287524062768,9614.929030234,-146.1108650362,-4.568786948767e-08,-68.7527353045437,146.1108650362,-1172105.0,41471.73,9036.860258843028,1172105.0,-0.00039538328,0.0004596244,-1.355302314131004e-05,0.0004596244,-725758.31,722212.25,-0.727546680697822,725758.31,-73.969498,73.970665,7.643035793942942e-05,73.970665,2.4461637000022048e-05,1.4716865330565804e-05,0.1275362200000126,-4.083257999998773e-06,0.0050006951,0.99499512,20,20,20,8.875419865717e-08,-146.01456705275,-0.0011667480749792958,306416.26666666666,1361467.8301053324,S1_BGStop_T005,0.05,0.002
T0p05,0.046,PartCsv_0023,1000,0,0,52437,123.984268,True,True,49.0992002613,9739.071429702,4913.865376931866,9739.071429702,-21.93230888869,25.1625264581,8.824622628283462,25.1625264581,-176454.98,826932.31,39481.276525199966,826932.31,-0.00049151375,0.00025793855,-5.922236183199999e-05,0.00049151375,-725717.94,726979.75,-0.749246593947988,726979.75,-73.96962,73.970619,7.58930391131969e-05,73.970619,6.427183700001531e-05,2.8892122426029506e-05,0.09501311900000024,-4.131313999999661e-06,0.0050006835,0.994995,20,20,20,3.00606089354e-07,-21.87228393515,-0.0016406735704990183,327675.8333333334,499257.7322460076,S1_BGStop_T005,0.05,0.002
