case,frame_index,kind,mode,surface_excess_count,surface_excess_max,surface_excess_maxAbs,surface_excess_mean,surface_excess_median,surface_excess_p90_abs,surface_excess_p95_abs,surface_excess_p99_abs,surface_threshold,time
old_ghost,0,compression,0,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
old_ghost,0,compression,0,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
old_ghost,0,compression,0,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
old_ghost,1,compression,0,398,68.28013067299,68.28013067299,58.24604478952456,58.32730774518,65.888478046374,65.94158728732799,68.2801192893011,0.85,0.001005
old_ghost,1,compression,0,350,68.28013067299,68.28013067299,57.37718896506012,57.507627857900005,65.888470544964,65.88847739834699,68.2801193835587,0.9,0.001005
old_ghost,1,compression,0,278,68.28013067299,68.28013067299,55.352380294088746,56.433737591639996,64.06585540977,64.0658726316025,68.28011947978,0.95,0.001005
old_ghost,2,compression,0,398,291.2475663951,291.2475663951,272.91165851196143,275.57574780385,291.24752323121,291.247540159895,291.247555464479,0.85,0.002011
old_ghost,2,compression,0,350,291.2475663951,291.2475663951,270.42033995476316,273.7951008507,291.24753219957,291.24754141086,291.24755789774304,0.9,0.002011
old_ghost,2,compression,0,278,288.5584589092,288.5584589092,265.365151795447,271.7710011557,287.29423103713003,287.29425375955,288.558446665671,0.95,0.002011
old_ghost,3,compression,0,398,265.0740092821,265.0740092821,241.04912582624684,241.67049269544998,265.07394309645997,265.073970742265,265.07400015175597,0.85,0.003016
old_ghost,3,compression,0,350,265.0740092821,265.0740092821,243.6877723906726,243.05095296855,265.07394978642,265.07397620093,265.074000447052,0.9,0.003016
old_ghost,3,compression,0,278,265.0740092821,265.0740092821,248.4674716346565,243.0510208338,265.07396348386,265.073980548975,265.074001717559,0.95,0.003016
old_ghost,4,compression,0,398,193.5622775482,193.5622775482,146.1673380416338,135.5810602364,193.56216367474,193.562206538455,193.562235897465,0.85,0.004022
old_ghost,4,compression,0,350,193.5622775482,193.5622775482,147.39776778940904,135.58103774165,193.56218443372,193.562209489275,193.56223600570502,0.9,0.004022
old_ghost,4,compression,0,278,193.5622775482,193.5622775482,150.26985721101744,134.1467519632,193.56219702554998,193.56221509582002,193.56223696462402,0.95,0.004022
old_ghost,5,compression,0,398,241.4930905048,241.4930905048,206.7122220057815,221.44407644795,233.57810673532998,241.493047524815,241.49306617157302,0.85,0.005027
old_ghost,5,compression,0,350,227.3754422504,227.3754422504,202.48501743427045,221.44403286755,226.61904663002,227.37513998935998,227.375246280373,0.9,0.005027
old_ghost,5,compression,0,278,227.3754422504,227.3754422504,197.20486064529547,192.484826562,226.61909251977,227.37517723752,227.375255942905,0.95,0.005027
old_ghost,6,compression,0,398,263.1535548317,263.1535548317,179.37367086967447,178.06295383785,209.7475210643,218.47285880327001,263.153242281752,0.85,0.006032
old_ghost,6,compression,0,350,263.1535548317,263.1535548317,177.45447163812415,178.06265691125,209.74761163774,218.47288466598502,263.153302108184,0.9,0.006032
old_ghost,6,compression,0,278,263.1535548317,263.1535548317,175.75112432680197,178.0627228331,218.47273149158002,218.47293771811,263.15338556625596,0.95,0.006032
strong_ghost,0,compression,1,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
strong_ghost,0,compression,1,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
strong_ghost,0,compression,1,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
strong_ghost,1,compression,1,398,68.23033914873,68.23033914873,58.204917404267285,58.285158532685,65.840503572928,65.896508271621,68.23033424532109,0.85,0.001005
strong_ghost,1,compression,1,350,68.23033914873,68.23033914873,57.335765419911205,57.466223190285,65.84049956693799,65.84050319000349,68.23033433957869,0.9,0.001005
strong_ghost,1,compression,1,278,68.23033914873,68.23033914873,55.312520177917875,56.39304948587,64.019345734842,64.0193565353,68.23033479712541,0.95,0.001005
strong_ghost,2,compression,1,398,290.1732748846,290.1732748846,271.9519381389304,274.61539451385,290.16706352432,290.17324323270503,290.17326140743495,0.85,0.002011
strong_ghost,2,compression,1,350,290.1670807856,290.1670807856,269.4597077068932,272.82456615225,290.16705056003,290.16706191251,290.167077038064,0.9,0.002011
strong_ghost,2,compression,1,278,287.4773369501,287.4773369501,264.4345972297673,270.80760110234996,286.26301911969,286.26304221447,287.47730781462997,0.95,0.002011
strong_ghost,3,compression,1,398,262.7775592305,262.7775592305,238.37565464785584,238.8420830899,262.77749534294,262.7775146536,262.777550590203,0.85,0.003016
strong_ghost,3,compression,1,350,262.7775592305,262.7775592305,241.0245060349169,240.35621981775,262.77750336482,262.777518413735,262.777551300651,0.9,0.003016
strong_ghost,3,compression,1,278,262.7775592305,262.7775592305,245.882124951841,240.35630097435,262.77750982793003,262.777527998265,262.777552416463,0.95,0.003016
strong_ghost,4,compression,1,398,189.8871244953,189.8871244953,142.47443040737778,131.86138686515,189.88703115105,189.887067895025,189.887117233031,0.85,0.004022
strong_ghost,4,compression,1,350,189.8871244953,189.8871244953,143.66784508329982,131.861368536,189.88703762795,189.88707215458498,189.887119401527,0.9,0.004022
strong_ghost,4,compression,1,278,189.8871244953,189.8871244953,146.54274753196415,130.438387604,189.88705405897997,189.88708529878,189.887121669457,0.95,0.004022
strong_ghost,5,compression,1,398,237.259652734,237.259652734,201.7945979214889,216.7901946327,228.97839258943998,237.25961565101,237.25963558400102,0.85,0.005027
strong_ghost,5,compression,1,350,221.8452551308,221.8452551308,197.49867813712228,216.7901579922,221.14250521801,221.84501313188002,221.84520602584098,0.9,0.005027
strong_ghost,5,compression,1,278,221.8452551308,221.8452551308,192.12657937939719,188.0365474701,220.98480235395,221.84507121015,221.845213927176,0.95,0.005027
strong_ghost,6,compression,1,398,258.2882830713,258.2882830713,172.5414524583702,170.01808995845,203.40669195142,212.58270496641,258.288004784148,0.85,0.006032
strong_ghost,6,compression,1,350,258.2882830713,258.2882830713,170.5541234285599,170.01802072204998,203.40689519081002,212.582709947605,258.288048172116,0.9,0.006032
strong_ghost,6,compression,1,278,258.2882830713,258.2882830713,168.67803402448027,169.7819882827,212.5825286416,212.58278664789003,258.28811656731,0.95,0.006032
surface_clamp,0,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
surface_clamp,0,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
surface_clamp,0,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
surface_clamp,1,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.001005
surface_clamp,1,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.001005
surface_clamp,1,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.001005
surface_clamp,2,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.002011
surface_clamp,2,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.002011
surface_clamp,2,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.002011
surface_clamp,3,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.003016
surface_clamp,3,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.003016
surface_clamp,3,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.003016
surface_clamp,4,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.004022
surface_clamp,4,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.004022
surface_clamp,4,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.004022
surface_clamp,5,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.005027
surface_clamp,5,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.005027
surface_clamp,5,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.005027
surface_clamp,6,compression,2,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.006032
surface_clamp,6,compression,2,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.006032
surface_clamp,6,compression,2,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.006032
diffusion_old,0,diffusion,0,398,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.85,0.0
diffusion_old,0,diffusion,0,350,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9,0.0
diffusion_old,0,diffusion,0,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.95,0.0
diffusion_old,1,diffusion,0,398,994.6984936515,994.6984936515,993.9499098789488,993.947371974,994.5309745446,994.698493216965,994.6984935533,0.85,0.001005
diffusion_old,1,diffusion,0,350,994.5309746428,994.5309746428,993.9286636399798,993.947371974,994.5309745446,994.5309745446,994.5309745937,0.9,0.001005
diffusion_old,1,diffusion,0,278,994.5309746428,994.5309746428,994.1050607497183,994.0125222326,994.5309745446,994.5309745446,994.5309746049929,0.95,0.001005
diffusion_old,2,diffusion,0,398,988.9323782983,988.9323782983,986.9148811716168,986.95776672975,988.9323775862599,988.9323778060899,988.932378033405,0.85,0.002011
diffusion_old,2,diffusion,0,350,988.9323782983,988.9323782983,987.0055595590347,986.9577672621999,988.93237761453,988.932377821995,988.932378049485,0.9,0.002011
diffusion_old,2,diffusion,0,278,988.9323782983,988.9323782983,987.4615079729746,987.0969473685,988.93237773428,988.9323778949399,988.9323780741801,0.95,0.002011
diffusion_old,3,diffusion,0,398,985.9035505578,985.9035505578,983.0663138251779,982.9708326527,984.01464941631,985.903549537745,985.9035503125331,0.85,0.003016
diffusion_old,3,diffusion,0,350,983.2981190827,983.2981190827,982.8067317555308,982.80447199165,983.2981173625001,983.298117729955,983.298118246442,0.9,0.003016
