case,case_name,center_avg_count_r0p10,center_avg_count_r0p15,center_avg_count_r0p20,center_avg_count_r0p30,center_avg_count_r0p40,center_avg_excess_over_p0_r0p10,center_avg_excess_over_p0_r0p15,center_avg_excess_over_p0_r0p20,center_avg_excess_over_p0_r0p30,center_avg_excess_over_p0_r0p40,center_avg_excess_r0p10,center_avg_excess_r0p15,center_avg_excess_r0p20,center_avg_excess_r0p30,center_avg_excess_r0p40,center_nearest_excess,center_nearest_excess_over_p0,center_nearest_radius,com_drift,configured_dp,div_rate_contrib_maxAbs_est,excess_maxAbs,excess_mean,frame_index,kind,kplastic_maxAbs,lap_maxAbs,lap_rate_contrib_maxAbs_est,lapz_maxAbs,lapz_rate_contrib_maxAbs_est,mode,p0,particle_count,particle_count_vtk,porepressrate_maxAbs,resolution,surface_lap_maxAbs,surface_lap_rate_contrib_maxAbs_est,surface_porepressrate_maxAbs,time,vel_max,vel_mean
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,7,19,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,compression,0.0,0.0,0.0,0.0,0.0,4,50.0,739,739,0.0,coarse,0.0,0.0,0.0,0.0,0.0,0.0
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,7,19,33,0.3974850401046,0.3974850401046,0.3938716375011143,0.40998626911656844,0.44732165495643644,19.87425200523,19.87425200523,19.693581875055717,20.49931345582842,22.36608274782182,19.87425200523,0.3974850401046,3.345001981104456e-14,4.824918741167837e-16,0.01,241902.32000000004,71.49045695653,56.346306425892706,1,compression,0.0,846162.75,5750.3414882772695,174.61133,0.0,4,50.0,739,739,236151.98,coarse,838577.06,5698.7907577302085,221525.63,0.001005,0.0008299255416940605,0.0005104679692060685
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,7,19,33,8.236211363802001,8.236211363802001,7.959269559400855,7.713292301454738,7.447966842196422,411.8105681901,411.8105681901,397.9634779700428,385.66461507273686,372.3983421098211,411.8105681901,8.236211363802001,1.5633970274382458e-13,1.2806087967213039e-15,0.01,221189.3333333333,411.8105681901,279.2462877062247,2,compression,0.0,4600837.0,31266.30648997622,174.59999,0.0,4,50.0,739,739,217152.53,coarse,4600837.0,31266.30648997622,126490.05,0.002011,0.0005779279745183897,0.00035796647077092125
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,1,19,33,1.2677386366144001,1.2677386366144001,1.2677386366144001,2.7184705491912844,3.0774587238554063,63.38693183072,63.38693183072,63.38693183072,135.9235274595642,153.8729361927703,63.38693183072,1.2677386366144001,2.3611722332568433e-13,2.3690265422689367e-15,0.01,281379.5466666667,221.8284313456,184.8101417803096,3,compression,0.0,4317714.5,29342.26639483521,174.60156,0.0,4,50.0,739,739,280621.56,coarse,4317714.5,29342.26639483521,234518.17,0.003016,0.0008374447934329534,0.0005114468471529885
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,1,19,33,1.392151437174,1.392151437174,1.392151437174,1.514196390183916,1.5829151314118786,69.6075718587,69.6075718587,69.6075718587,75.7098195091958,79.14575657059393,69.6075718587,1.392151437174,3.024810227288025e-13,8.2295934494167e-15,0.01,146971.88,123.8111386703,77.10563890032145,4,compression,0.0,2580619.5,17537.339449541287,174.6031,0.0,4,50.0,739,739,146761.11,coarse,2580619.5,17537.339449541287,72313.797,0.004022,0.00048086454626175177,0.00020284757432653563
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,7,19,33,5.566800594278,5.566800594278,4.716486907996856,4.243814553715895,3.937881440457577,278.3400297139,278.3400297139,235.82434539984283,212.19072768579474,196.89407202287885,278.3400297139,5.566800594278,3.4722580958916797e-13,6.47262753890642e-15,0.01,405992.81333333335,278.3400297139,139.92476297048321,5,compression,0.0,2758756.8,18747.92252803262,174.59669,0.0,4,50.0,739,739,397523.81,coarse,2669999.0,18144.74345905539,84313.359,0.005027,0.0004747182293883101,0.00018615632561534758
coarse_compression,CaseCryer_PR_StrictSphere_C5g_CoarseCompressionNormalized,1,1,7,19,33,1.7387520997876,1.7387520997876,1.6678002515813142,1.6263200836951264,1.607397248870666,86.93760498938,86.93760498938,83.39001257906571,81.31600418475632,80.36986244353331,86.93760498938,1.7387520997876,4.093850508679803e-13,6.289535007521746e-15,0.01,247505.85333333336,182.9576197402,88.86744939596429,6,compression,0.0,3979295.0,27042.43968739382,174.60304,0.0,4,50.0,739,739,249224.42,coarse,3979295.0,27042.43968739382,226486.97,0.006032,0.0011162698122510143,0.0003927454411100204
finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,1,7,27,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0,compression,0.0,0.0,0.0,0.0,0.0,4,50.0,1213,1213,0.0,finer,0.0,0.0,0.0,0.0,0.0,0.0
finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,1,7,27,81,1.1788585396162,1.1788585396162,1.2466018416392286,1.294805918267874,1.3226449866288867,58.94292698081,58.94292698081,62.330092081961425,64.7402959133937,66.13224933144434,58.94292698081,1.1788585396162,1.2015556839983357e-14,2.7016175088409694e-16,0.008,334859.24,134.3343797544,105.80843372847907,1,compression,0.0,3079958.3,20930.739381583422,175.79971,0.0,4,50.0,1213,1213,315665.84,finer,3079958.3,20930.739381583422,304774.69,0.001046,0.001051634433679283,0.000698457361930045
finer_compression,CaseCryer_PR_StrictSphere_C5g_FinerCompressionNormalized,1,1,7,27,81,6.979583161422,6.979583161422,7.022394185162287,7.060483964574962,7.057623854846888,348.9791580711,348.9791580711,351.1197092581143,353.0241982287481,352.8811927423444,348.9791580711,6.979583161422,4.937301367168548e-14,3.2719421046377796e-15,0.008,226034.8666666667,354.2735874869,288.324799693364,2,compression,0.0,7261984.0,49350.893645939526,175.79379,0.0,4,50.0,1213,1213,226915.16,finer,7261984.0,49350.893645939526,36858.934,0.002011,0.0003713254373854229,0.0001597061972433278
