case,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,time
old_ghost,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.2,0.0,0.0
old_ghost,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.4,0.2,0.0
old_ghost,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.6,0.4,0.0
old_ghost,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.8,0.6,0.0
old_ghost,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.9,0.8,0.0
old_ghost,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,0.95,0.9,0.0
old_ghost,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0,1.0,0.95,0.0
old_ghost,7,19.92427216646,19.92427216646,19.74637148229857,19.71672088348,19.799745248018,19.862008707239,19.9118194746158,1,compression,0,0.2,0.0,0.001005
old_ghost,26,26.61070916376,26.61070916376,23.138090432050383,23.70622709755,26.610706095445,26.61070782597,26.61070890602,1,compression,0,0.4,0.2,0.001005
old_ghost,90,53.51900279005,53.51900279005,42.44912131585391,37.215163743485,53.360188236626996,53.5189866188105,53.518994401034604,1,compression,0,0.6,0.4,0.001005
old_ghost,134,72.41925169658,72.41925169658,64.15443457040351,63.975808760615,66.603088405349,66.6030926077105,72.4192504633632,1,compression,0,0.8,0.6,0.001005
old_ghost,132,71.46749516517,71.46749516517,67.37482886475642,68.1864022627,71.467484482531,71.46748860634099,71.4674927144462,1,compression,0,0.9,0.8,0.001005
old_ghost,72,65.88848719732,65.88848719732,65.19520022242182,65.888469327455,65.888480304653,65.8884810705105,65.8884866396221,1,compression,0,0.95,0.9,0.001005
old_ghost,54,68.28013067299,68.28013067299,61.59787955704333,63.19789761486,66.75545392180102,68.28011947978,68.28012859144681,1,compression,0,1.0,0.95,0.001005
old_ghost,7,422.3957344937,422.3957344937,409.06678636535713,406.8453006459,413.0654991239,417.7306168088,421.46271095672,2,compression,0,0.2,0.0,0.002011
old_ghost,26,389.8375735156,389.8375735156,376.74409246703476,373.18505936455,389.8375609259,389.83756535320003,389.837571688425,2,compression,0,0.4,0.2,0.002011
old_ghost,90,344.695561949,344.695561949,331.87101710341574,336.05198813330003,344.69554569218,344.69555396203,344.695558696673,2,compression,0,0.6,0.4,0.002011
old_ghost,134,319.0128653593,319.0128653593,313.7522906254014,312.6099316193,317.67187041146,319.012837532485,319.012863663629,2,compression,0,0.8,0.6,0.002011
old_ghost,132,303.8707462683,303.8707462683,296.77974171541956,299.35252385845,303.87072833521,303.870733970355,303.870741716834,2,compression,0,0.9,0.8,0.002011
old_ghost,72,291.2475663951,291.2475663951,289.9389831254556,291.2475311629,291.24755280135,291.247557593585,291.24756410187103,2,compression,0,0.95,0.9,0.002011
old_ghost,54,288.5584589092,288.5584589092,283.5472003899925,287.29423487055,288.17917928869997,288.558447532995,288.55845570095096,2,compression,0,1.0,0.95,0.002011
old_ghost,1,91.98154840908,91.98154840908,91.98154840908,91.98154840908,91.98154840908,91.98154840908,91.98154840908,3,compression,0,0.2,0.0,0.003016
old_ghost,32,226.2326560028,226.2326560028,192.10729175898132,186.30203116479998,226.23263870995999,226.23264496712,226.232653251054,3,compression,0,0.4,0.2,0.003016
old_ghost,90,229.1479693279,229.1479693279,224.32502395288117,226.37252633575,229.14795686834,229.14796309371502,229.147967790336,3,compression,0,0.6,0.4,0.003016
old_ghost,134,221.4778708333,221.4778708333,215.36883770014398,216.96339942909998,221.4778432178,221.47785781931998,221.477867363311,3,compression,0,0.8,0.6,0.003016
