case,case_name,resolution,configured_dp,mode,time,frame_index,particle_count,center_pressure,center_nearest_radius,volume_mean_pressure,surface_shell_mean,surface_shell_p95_abs,porepressrate_maxAbs,negative_pressure_count,kplastic_maxAbs,fv_center_pressure,fv_volume_mean_pressure,fv_surface_shell_mean,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.0,0,1213,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0,0.0,1000.0,1000.0,1000.0000000000001,-10.891218337160671,4099.121912940717,-0.0026569637518654068
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.001046,1,1213,993.5223489252,3.152651812642949e-16,1021.7575267773545,1100.5916812403248,1354.20364582745,821195.75,0,0.0,1000.000000000005,828.037624637884,234.15858062975508,-54.25109448969954,40.911894663194644,-1.326046983067376
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.002011,2,1213,1206.977200718,3.934879099435113e-15,1195.4676542882225,1235.7111088468832,1390.5709011097,1505776.9,0,0.0,1000.0000000000043,766.125419923174,164.95110391894238,-54.26712589885588,28.31435651466818,-1.9165940031426436
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.003056,3,1213,1212.05620835,1.982735353362469e-14,1217.353756012817,1239.8470712707763,1466.6693299353499,582620.81,0,0.0,999.9999999988919,716.3947810655859,129.9872895860561,127.03081154039114,22.16214126966638,5.731883485205462
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.004021,4,1213,744.3227949148,1.2187800652226792e-13,748.3742108575846,533.0061985104488,1318.6342651461498,4516839.0,72,0.0,999.9999987165205,678.8866693318421,110.46009157761499,350.17394189847045,18.773003760823045,18.653058741150442
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.005066,5,1213,-194.3996680966,5.321241481219442e-13,-157.35932386739358,-636.0354113236035,5400.8398598069,9712808.0,887,0.0,999.999873364537,644.0727773209189,95.87044742489998,107.97072193242815,16.259193005412975,6.640595378656418
mode8_corrected_laplacian_dp008,CaseCryer_PR_StrictSphere_C5n_FinerDiffusionCorrectedLap,finer,0.008,8,0.006031,6,1213,47.37820600102,1.3625130860703908e-12,232.25616166167697,431.67219212928575,1410.9049118253,9369854.0,74,0.0,999.9978890663624,615.7550972966473,85.8762832241564,-211.40123438047476,14.545187286015539,-14.534101914502424
